topic,file,gold
CYCLONE SITARANG,CYCLONE SITARANG_B,"সিত্রাং এর প্রভাবে নোয়াখালীর উপকূলীয় উপজেলা হাতিয়ায় দমকা হাওয়া এবং হালকা বৃষ্টি হচ্ছে। উপজেলা দুর্যোগ কমিটির জরুরি সভায় দুর্যোগ মোকাবেলার জন্য সব ধরনের প্রস্তুতি গ্রহণ করা হচ্ছে এবং সবাইকে নিরাপদ অবস্থানে থাকার নির্দেশনা দেয়া হয়েছে। অপরদিকে বরগুনার উপকূলীয় এলাকাগুলোতে ভারী বৃষ্টিপাত হচ্ছে।ধারণা করা হচ্ছে ঘূর্ণিঝড়টির অগ্রবর্তী অংশ  অমাবস্যা ও প্রবল বায়ু চাপের আধিক্যের কারণে উপকূলীয় জেলা,নদী, চর এবং দ্বীপগুলো ৫ থেকে ৮ ফুট উচ্চতার জলোচ্ছ্বাসে প্লাবিত হতে পারে। সব ধরনের প্রস্তুতি গ্রহণ করা হচ্ছে ও মানুষদের নিরাপদ আশ্রয় নেয়া হচ্ছে। জরুরী চিকিৎসা সেবা সহ, খাদ্য ও ত্রাণ ব্যবস্থা নেয়া হয়েছে। ঘূর্ণিঝড় সিত্রাং এর গতিপথ বরিশালের দিকে প্রবাহিত হচ্ছে।প্রবল বৃষ্টির কারণে, উঁচু উচ্চতার জোয়ারের আশঙ্কা করা হচ্ছে। পরিস্থিতি মোকাবিলার জন্য প্রস্তুতি গ্রহণ করা হচ্ছে। ঘূর্ণিঝড় মোকাবিলার জন্য দেশের সব উপকূলীয় অঞ্চলে প্রয়োজনীয় চিকিৎসা সেবা খাদ্য, ত্রাণ ও আশ্রয়কেন্দ্র সহ, গবাদিপশুর আশ্রয়েরও ব্যবস্হা গ্রহণ করা হয়েছে।"
DENGU,DENGU_A,ডেঙ্গুতে গত রবিবার আরও পাঁচজনের মৃত্যু।এবছর এখন পর্যন্ত ডেঙ্গুতে ১১৮ জনের মৃত্যু হয়েছে।যা গত বছরের তুলনায় ১৩ জন বেশি।গতকাল মোট ৯০৩ ডেঙ্গু রোগী সনাক্ত হয়েছে।এ নিয়ে এই বছর ডেঙ্গুতে আক্রান্তের সংখ্যা দাঁড়াল ৩১ হাজার ৯৬৬।গত বছর ডেঙ্গুতে আক্রান্তের মোট সংখ্যা ছিল ২৮ হাজার ৪২৯ জন।মঙ্গলবারে আরও দুই জনসহ সহ সর্বমোট ১২০ জনের ডেঙ্গুতে মৃত্যু হয়েছে। এবং শুধু মঙ্গলবারেই ডেঙ্গু শনাক্ত রোগীর সংখ্যা ছিল ৯২৩। বুধবারে ডেঙ্গুতে মৃত্যু হয়েছে তিন জনের এ নিয়ে এ পর্যন্ত সর্বমোট ১২৩ জন ডেঙ্গুতে মারা গেছে।মোট সনাক্ত ডেঙ্গু রোগীর সংখ্যা ৮৯৯ যা গত মঙ্গলবারের তুলনায় কিছুটা কম।এছাড়াও গত বৃহস্পতিবার আরও পাঁচজনের মৃত্যু।এবছর এখন পর্যন্ত ডেঙ্গুতে ১২৭ জনের মৃত্যু হয়েছে।গতকাল মোট সনাক্ত ডেঙ্গু রোগীর সংখ্যা ৪৪০ যা গত বুধবারের অর্ধেক।ডেঙ্গুতে আরও ছয়জনের মৃত্যু।এবছর এখন পর্যন্ত ডেঙ্গুতে ১৩৩ জনের মৃত্যু হয়েছে।গতকাল মোট ৮৬৯ ডেঙ্গু রোগী সনাক্ত হয়েছে।এ নিয়ে এই বছর ডেঙ্গুতে আক্রান্তের সংখ্যা দাঁড়াল ৩৬ হাজার ১৩১ জন।ডেঙ্গুতে মৃত্যুর হাড় বাড়ার প্রধান কারন হিসেবে সঠিক সময়ে রোগীকে হাসপাতালে না আনা এবং সচেতনার অভাব বলে জানিয়েছে স্বাস্থ্য অধিদপ্তর।এছাড়া এই বছর প্রায় ৫০টি জেলায় ডেঙ্গুর প্রায় ৩টি ভ্যারিয়েন্ট সক্রিয়তা নিশ্চিত করেছে স্বাস্থ্য অধিদপ্তর এবং এদের মাঝে সব চাইতে বেশি আক্রান্ত ঢাকা জেলাতে এবং এরপরই আছে কক্সবাজার।
DENGU,DENGU_B,এ বছর আজ ২২ নভেম্বর পর্যন্ত ডেঙ্গুতে ২৩৭ জনের মৃত্যু হয়েছে এবং গতকাল মোট ৫১৫ জন ডেঙ্গু রোগী সনাক্ত হয়েছে।এ নিয়ে এই বছর ডেঙ্গুতে আক্রান্তের সংখ্যা দাঁড়াল ৫৩ হাজার ৯২৮ জন।এ বছরের ডেঙ্গুর প্রকপ গত দুই দশক এর চেয়ে সর্বচ্চ।এর মাঝে শিশু ও বৃদ্ধদের আক্রান্তের হাড় সবচাইতে বেশি।বরাবরের মত ঢাকাতে সর্বচ্চ আক্রান্ত হয়েছে এর পরেই আছে কক্সবাজার যাদের বড় অংশ আশ্রয়নেয়া রহিঙ্গা জনগোষ্ঠী। বুধবার ডেঙ্গুতে ২৪০ জনের মৃত্যু হয়েছে এবং বৃহস্পতিবার পর্যন্ত ডেঙ্গুতে ২৪১ জনের মৃত্যু হয়েছে এবং গতকাল মোট ৫১৯ জন ডেঙ্গু রোগী সনাক্ত হয়েছে।এ নিয়ে এই বছর ডেঙ্গুতে আক্রান্তের সংখ্যা দাঁড়াল ৫৪ হাজার ৯২৪ জন।ডেঙ্গুতে গত আরও দুইজনের মৃত্যু।এ বছর আজ শুক্রবার পর্যন্ত ডেঙ্গুতে ২৪৪ জনের মৃত্যু হয়েছে এবং গতকাল মোট ৪৬২ জন ডেঙ্গু রোগী সনাক্ত হয়েছে।এ নিয়ে এই বছর ডেঙ্গুতে আক্রান্তের সংখ্যা দাঁড়াল ৫৫ হাজার ৬০৭ জন এর মাঝে বর্তমানে ১ হাজার ৯৮৮ জন রোগী চিকিৎসাধীন আছেন।এ বছরের ডেঙ্গুর প্রকপ গত দুই দশক এর চেয়ে সর্বচ্চ।এর মাঝে শিশু ও বৃদ্ধদের আক্রান্তের হাড় সবচাইতে বেশি।বরাবরের মত ঢাকাতে সর্বচ্চ আক্রান্ত হয়েছে এর পরেই আছে কক্সবাজার যাদের বড় অংশ আশ্রয়নেয়া রহিঙ্গা জনগোষ্ঠী।
ELON MUSK,ELON MUSK_A,"ইলন মাস্ক টুইটারের নতুন প্রধান নির্বাহী কর্মকর্তা হিসেবে নিয়োগ হয়েছেন। ইলোন মাস্ক কোম্পানির বোর্ডের একমাত্র পরিচালক হয়েছেন। কোম্পানির মালিকানা বদলের পূর্বে টুইটারের ৯জন পরিচালক ছিলেন তাদের আর কেউ নেই । মালিকানা পাওয়ার পূর্বে পরাগ আগরওয়াল কোম্পানির সিইও থেকে বরখাস্ত করা ছাড়াও আরো কিছু শীর্ষ কর্মকর্তাকে বরখাস্ত করা হয়েছে। এলন মাস্ক  এখন টুইটারের দায়িত্ব পালন করবেন এবং টুইটারে নিজের পরিচিতি হিসেবে লিখেন "" চিফ টুইট"" টুইটারের মালিকানা পাওয়ার পর টুইটার ব্যাবসায় প্লাটফর্মে পরিণত করবেন। তিনি কিছু পদক্ষেপও  নিয়েছেন যেমন কেউ নকল প্রোফাইল করতে পারবে না।এলন মাস্ক টুইটারের মাধ্যমে অর্থ আয় করতে চাচ্ছেন। যেটার ফল ভালো  না হইতে পারে। যারা ভেরিফাইড আইডি চান ওর তাদের একাউন্টের পাশে ব্লু  টিক চান তাদের থেকে কিছু ডলার কামাই করতে চাচ্ছেন এলন মাস্ক। ব্লু টিক পেতে আট ডলার খরচ করতে হবে টুইটার ইউজারদের। যেটা তারা চাচ্ছেন না দিতে । কিন্তু তাদের কিছু সুবিধা দেওয়ার কথাও এলন মাস্ক বলেছেন সেটা হলো ভেরিফাইড ইউজাররা কোনো পোস্ট সার্চ দিলে আগে দেখতে পারবেন এবং বেশি ভিডিও পোস্ট করতে পারবেন । ইলন মাস্কের নেওয়া এই সিদ্ধান্ত তাদের পছন্দ হয়নি।"
ELON MUSK,ELON MUSK_B,ইলোন মাস্ক বড় পদের অনেক কর্মকর্তাকে চাকরিচ্যুত করেছেন। যা সামাজিক যোগাযোগ মাধ্যমে অনেক উত্তেজনার সৃষ্টি করেছে। ব্রুস ডাইসলি ইউরোপ ও মধ্য প্রাচ্য বিভাগের সাবেক প্রেসিডেন্ট জানিয়েছেন যে মাস্ক সবাইকে ভয়ের মধ্যে রেখেছেন। ব্রুস ডেইসলি আরো মন্তব্য করেন যে ইলন মাস্ক ভেরিফাইড একাউন্ট থেকে ৮ ডলার ধার্য করেছেন সেটা তার পকেট মানি হিসেবে নিবেন। এখন কর্মী ছাঁটাই করা হচ্ছে।  সব পদের কর্মী ছাঁটাই করা হচ্ছে। ইলন মাস্ক টুইটার কিনে নেওয়ার পর ১০লাখ ইউজার টুইটার ব্যবহার করা বন্ধ করে দিয়েছেন । ক্রিস্টোফার বাউজি তথ্য ঠেকানো ও বট ট্র্যাকার ওয়েবসাইট বট সেন্টিনেলের প্রতিষ্ঠাতা জানিয়েছেন টুইটার অ্যাকাউন্ট বন্ধ করা ও টুইটারের পক্ষ থেকে অ্যাকাউন্ট বন্ধ করার সংখ্যা অনেক বেড়েছে। ইলোন মাস্ক টুইটার কিনার পর অনেক পরিবর্তন এসেছে।
GAS_ELEC_COST,GAS_ELEC_COST_A,"জনগণের টাকা হাতিয়ে নিতে গ্যাস-বিদ্যুতের দাম বাড়ানো হচ্ছে বলে অভিযোগ করেছে বিএনপি। মূল্যবৃদ্ধির বিষয়ে সমালোচনা করেছেন বিএনপির মহাসচিব মির্জা ফখরুল এবং তিনি এই ইস্যুতে আন্দোলনে নামার হুঁশিয়ারি দেন।গ্যাসের দাম বৃদ্ধিতে সাংবাদিকদের প্রশ্নের জবাবে প্রতিমন্ত্রী বলেন, আমাদের এলএনজি আর বেশি নেই। সামনে দেড়-দুই বছরের মতো আছে, দুই বছরের মধ্যে এখানে গ্যাসের একটা ব্যালান্স হবে। বিশিষ্টজনদের মতে,সরকার তার ইচ্ছামতো সিদ্ধান্ত জনগণের ওপর চাপিয়ে দিচ্ছে, জাসদ, বাসদ নামে ছোট কিছু দল তাদের সীমিত সামর্থ্য নিয়ে বিক্ষোভ মিছিল ও আধাবেলা হরতাল করেছে।সরকার বিদ্যুৎ খাতের উন্নয়ন করছে, তবে এর খেসারতটা জনগণকেই দিতে হচ্ছে। বর্তমান সরকার গত ৫ বছরে ৬ বার বিদ্যুতের দাম বাড়িয়েছে। দফায় দফায় দাম বাড়ালেও লোকসান কমছে না, বরং বাড়ছে। বিদ্যুৎ উন্নয়ন বোর্ডের সর্বশেষ হিসাব অনুযায়ী, বর্তমানে প্রতি ইউনিট বিদ্যুতের উৎপাদন মূল্য ৬ টাকা ২৪ পয়সা। বিতরণ কোম্পানিগুলোর কাছে বিক্রি করা হচ্ছিল প্রতি ইউনিট ৪ টাকা ৬৭ পয়সা করে। দাম বাড়ানোর পর এই বিক্রয় মূল্য হয়েছে প্রায় ৪ টাকা ৯০ পয়সা। এই হিসাবে সরকার উৎপাদন মূল্যের চেয়ে কম দামে বিক্রি করছে ঠিকই,কিন্তু ভোক্তা পর্যায়ে দাম পড়ে প্রতি ইউনিট ৬ টাকা ৩৩ পয়সা। 	"
GAS_ELEC_COST,GAS_ELEC_COST_B,"গত দশ বছরে দফায় দফায় বিদ্যুৎ ও গ্যাসের দাম বৃদ্ধির ফলে মানুষের জীবনযাপন কঠিন হয়ে পড়ছে। মহামারী করোনার প্রভাবে অর্থনৈতিকভাবে বিপর্যস্ত সাধারণ মানুষ। এই পরিস্থিতিতে গ্যাস বিদ্যুতের দাম বৃদ্ধির বিষয়টি মড়ার ওপর খাঁড়ার ঘা হিসেবে দেখছেন বিশেষজ্ঞরা। এদিকে গ্যাস-বিদ্যুতের মূল্যবৃদ্ধির বিষয়টি পর্যালোচনা করছে বাংলাদেশ এনার্জি রেগুলেটরি কমিশন। গ্যাস-বিদ্যুতের দাম বাড়াতে সরকারের প্রক্রিয়ায় দুশ্চিন্তায় আছেন বস্ত্র, তৈরি পোশাকসহ বিভিন্ন খাতের ব্যবসায়ীরা। সমস্যা সমাধানে দীর্ঘমেয়াদি জ্বালানি নীতি ও ব্যবসাবান্ধব করকাঠামো গড়ে তোলার প্রস্তাবও দিয়েছেন ব্যবসায়ীরা। তাছাড়া আরো বিভিন্ন খাতের ব্যবসায়ী নেতারা জানান, করোনা-পরবর্তী অর্থনীতি পুনরুদ্ধার প্রক্রিয়ায় রাশিয়া-ইউক্রেন পরিস্থিতির কারণে ব্যবসা-বাণিজ্যে একধরনের মূল্যস্ফীতির চাপ আছে।এ ছাড়া বছর বছর করকাঠামো পরিবর্তন না করে দীর্ঘমেয়াদি কাঠামো গড়ে তোলার প্রস্তাব দেন তারা। শিল্পায়নে গ্যাস-বিদ্যুৎ অপরিহার্য বিধায় নিরবচ্ছিন্ন সরবরাহের পাশাপাশি দাম স্থিতিশীল রাখার আহ্বান জানান তারা। বিদ্যুৎ ও গ্যাসের দাম বাড়ানোর খবরে অন্যান্য খাতের মতো বস্ত্র খাতের ব্যবসায়ীরাও আতঙ্কিত। এ খাতে বিদ্যুতের ব্যবহার অনেক বেশি। এফবিসিসিআই সভাপতি বলেন, দেশে বর্তমানে চরম অসময় যাচ্ছে। এ পরিস্থিতিতে বিদ্যুৎ ও গ্যাসের দাম না বাড়াতে অনুরোধ করেন। তার পরও যদি বাড়ানো হয় সেটা ব্যবসায়ীদের উপর না চাপে বিদ্যুৎ খাতের ভর্তুকির মাধ্যমে সমন্বয় করা হোক।প্রতিমন্ত্রী বলেন, আমাদের লক্ষ্য নির্ধারিত, কাদের জন্য ভর্তুকি দিতে চাই, কতদূর রাখতে চাই। আমাদের একটি বৃহৎ জনগোষ্ঠীর বিদ্যুতের মূল্য দেওয়ার সক্ষমতা নেই। তাই ভর্তুকি দেওয়া হয়। "
GAS_SHONKOT,GAS_SHONKOT_A,"গাজীপুরের তীব্র গ্যাস–সংকট। বাসাবাড়িতে জ্বলছে না চুলা, শিল্পকারখানায় বন্ধ উৎপাদন।এছাড়াও শিল্পকারখানায় উৎপাদন ব্যাহত হচ্ছে এবং লোডসেডিং তীব্র আকার ধারন করেছে।শিল্পকারখানার মালিক ও কর্মকর্তাদের দাবি, প্রতি বর্গফুটে যেখানে ১৫ পিএসআই সেখানে এখন তারা পাচ্ছে ৩-৪ পিএসআই।এর ফলে রপ্তানিপন্য উৎপাদন ব্যাহত হচ্ছে।এ নিয়ে কাশিমপুর এলাকার জব্বার ফ্যাশন,গাজীপুরের শ্রীপুর উপজেলার মোশাররফ নিট কম্পোজিট লিমিটেডের সহ অন্যান্য কোম্পানির উর্ধতন কতৃপক্ষের সাথে কথা বলে সবাই সংকট নিয়ে চিন্তিত বলে জানিয়েছেন।তিতাস গ্যাস কতৃপক্ষের সাথে কথা বলে তারা এই সংকটের সত্যতা শিকার করেছেন।জয়দেবপুর এলাকায় ৬১০ মিলিয়ন ঘনফুট চাহিদার বিপরীতে গ্যাস সরবরাহ হয়েছে ২৫০ থেকে ২৮০ মিলিয়ন ঘনফুট।যা স্বাভাবিক সময়ে ৫০০ মিলিয়ন ঘনফুট থাকে।মূলত রক্ষণাবেক্ষণের কারণে বিবিয়ানা গ্যাসক্ষেত্রের ছয়টি কূপ থেকে উৎপাদন বন্ধ রয়েছে।এ কারণে দেশে গ্যাসের সংকট দেখা দিয়েছে।এর মোকাবিলায় নিয়মত সিডিউল করে সিএনজি স্টেসন বন্ধ রাখা হচ্ছে।বিশেষজ্ঞদের মতে শুধু কম উৎপাদনই নয় বিশ্ববাজারে গ্যাসের দাম বাড়ার কারনো এর প্রভাব পড়েছে এই খাতে।তিতাস ও পেট্রবাংলার কতৃপক্ষের সাথে ব্যাসাহীদের এক বৈঠকে এই সংকট নিয়ে আলোচনা করা হয়েছে।তবে সরকার ইতিমধ্যে দেশে উৎপাদন বৃদ্ধির জন্য যোর দিচ্ছে। তবে এই সংকট শিগ্রই শেষ হবেনা বলে ধারনা করা হচ্ছে।"
GAS_SHONKOT,GAS_SHONKOT_B,গ্যাসের তীব্র সংকটে শিল্প কারখানা গুলো পরেছে চরম বিপাকে।এই সংকটের কারনে পন্য উৎপাদন ৫০ শতাংশ কমে গেছে।এই পরিস্থিতি চলতে থাকলে ব্যাবসা প্রতিষ্ঠান বন্ধ করে চলে যেতে হবে বলেছেন শিল্প মালিক গন।বর্তমানে গ্যাস সংকটে উৎপাদন খরচ দ্বিগুন হয়েছে।এরপরও পন্যউৎপাদন চাহিদা অনুযায়ী না হওয়ায় বিদেশি পন্য রপ্তানি ব্যহত হচ্ছে এবং অনেক সময় বায়ার ক্যানসেলও করছে।বর্তমানে দেশে শিল্প কারখানায় দৈনিক গ্যাসের চাহিদা ৩৮০ কোটি ঘনফুট।সচরাচর দেশে ৩০০ কোটি ঘনফুট উৎপাদন হয় এবং বাকি অংশ রপ্তানি করা হয়।ইউক্রেন যুদ্ধের কারনে বিশ্ববাজারে গ্যাসের সংকট ও দাম বৃদ্ধির ফলেও এই সংকট আমদানি করেও সম্ভব হচ্ছে না।এই নিয়ে সোনারগাঁও হোটেলে এক সংবাদ সম্মেলনে বিটিএমএর সভাপতি এই সংকট নিয়ে আলচনা করেন এবং তিনি বলেছেন মার্চমাসে সংকট হলে পেট্রোবাংলা বলে এই সংকট দ্রুত কেটে যাবে। অক্টোবর নাগাদ সব সমাধান হবে।কিন্তু উল্টা অক্টোবরে আরো সংকট তৈরি হয়েছে।এই নিয়ে অনেক বৈঠক হয়েছে এবং সরকার এই ব্যাপারে সুরাহা করার প্রতিশ্রুতি দিয়েছে।তবে এই সংকট শুধুমাত্র কারখানাতেই নয় বাসাবাড়িতেও চরম দূর্ভোগের সৃষ্টি করেছে।অনেকে সিলিন্ডার গ্যাসের ব্যাবহার করছেন।দৈনিক ১২-১৩ ঘন্টা করে গ্যাস থাকছে না।এমনকি অনেক কারখানাও সিএনজি স্টেসন থেকে সিলিন্ডারে গ্যাস কিনে তাদের উৎপাদন ধরে রাখার চেষ্টা করা হচ্ছে।এছারাও বিদ্যুৎ উৎপাদনে গ্যাসের সংকটের প্রভাব পরেছে।
GOLD PRICE,GOLD PRICE_A,গত বছর বিশ্বব্যাপী উচ্চ  মূল্যস্ফীতির কারণে যুক্তরাষ্ট্রের কেন্দ্রীয় ব্যাংক ফেডারেল রিজার্ভ দফায় দফায় নীতি  সুদ হার বৃদ্ধি করে। বিনিয়োগ কারীরা যুক্তরাষ্ট্র বন্ট কেনায় বিপুল বিনিয়োগ করেন ।সে কারণে সামগ্রিকভাবে গত এক বছরে সোনার দাম ততটা বাড়েনি কিন্তু রাশিয়া ইউক্রেন যুদ্ধ শুরু হলে সোনার দাম হঠাৎ বেড়ে যায় আন্তর্জাতিক বাজারে। আন্তর্জাতিক বাজারে সোনার দাম বৃদ্ধির ফলে ভারত বাংলাদেশ ও দাম বৃদ্ধি পাচ্ছে।  অনেকে আবার সংকটকালীন অর্থনীতির কথাও মনে করিয়ে দিচ্ছেন ।বিশ্ব অর্থনীতি অস্থির হয়ে উঠছে আর মানুষ খাঁটি সোনার দিকে ভরসা খুঁজছে এদিকে স্বর্ণের দাম বৃদ্ধির ফলে অনেকেই পরিকল্পনা মত গয়না কিনতে পারছে না ।ফলে ছোট মাঝারি দোকান বন্ধ হয়ে যেতে পারে স্বর্ণের।  গত কয়েক মাসে বিশ্ববাজারে বিভিন্ন দেশে যেভাবে সোনার চাহিদা বাড়ছে  তাতে সোনার দাম তরতরিয়ে বাড়ছে।
GOLD PRICE,GOLD PRICE_B,দেশের বাজারে গত ছয় মাস ধরে সোনার দাম বাড়ছে জুয়েলার্স সমিতি বিজ্ঞপ্তিতে দাম বাড়ানোর বিষয়টি জানিয়েছে তবে রুপার দাম অপরিবর্তিত রয়েছে ।এদিকে আন্তর্জাতিক বাজারে সোনার দাম কয়েক মাস ধরে নিম্নমুখী প্রবণত দেখা গেলেও নভেম্বর মাস থেকে বাড়ছে রাশিয়া ইউপেন যুদ্ধ শুরু হলে দাম হঠাৎ বেড়ে যায় প্রতি আন্স সোনা ২০২২ এর মার্চে প্রথম সপ্তাহে দাম বেড়ে হয়  দুই হাজার ৫২ ডলার যা ইতিহাসে দ্বিতীয় সর্বোচ্চ ।২০২২ এর ৩ নভেম্বরে প্রতি অংশ সোনার দাম ছিল  ১  হাজার ৬২৯ ডলার তারপর  দাম ধারাবাহিকভাবে বাড়ছে।
IRAN,IRAN_A,ইরানের দক্ষিণাঞ্চলীয় শহরে সিরাজে শিয়া ধর্মালম্বীদের একটি ধর্মীয়  স্থাপনায়  তিনজন অস্ত্রধারী হামলা চালায় যাতে ১৫ জন  নিহত এবং ৪০ জন আহত হন। এই হামলার দায়  জঙ্গি গোষ্ঠী ইসলামিক স্টেট আই এস স্বীকার করেছে। তিনজন হামলাকারীর মধ্যে দুজনকে গ্রেফতার করা হয়েছে এবং একজন এখনো পলাতক। হামলার শিকার এবং প্রত্যক্ষদর্শী  অনেকেই এই ঘটনার নৃশংসতা  বর্ণনা কছেন। ইরানের প্রেসিডেন্ট  ইব্রাহিম রাইদি এই ঘটনার উপযুক্ত জবাব দেওয়ার হুঁশিয়ারি দিয়েছেন।
